1010:	learn: 0.0756618	test: 0.0779902	best: 0.0779902 (1010)	total: 1m 32s	remaining: 1m 30s
1020:	learn: 0.0756017	test: 0.0779500	best: 0.0779500 (1020)	total: 1m 33s	remaining: 1m 29s
1030:	learn: 0.0755180	test: 0.0779020	best: 0.0779020 (1030)	total: 1m 34s	remaining: 1m 29s
1040:	learn: 0.0754136	test: 0.0778134	best: 0.0778134 (1040)	total: 1m 35s	remaining: 1m 28s
1050:	learn: 0.0753514	test: 0.0777810	best: 0.0777810 (1050)	total: 1m 36s	remaining: 1m 27s
1060:	learn: 0.0752959	test: 0.0777564	best: 0.0777564 (1060)	total: 1m 37s	remaining: 1m 26s
1070:	learn: 0.0752167	test: 0.0777123	best: 0.0777123 (1070)	total: 1m 38s	remaining: 1m 25s
1080:	learn: 0.0751452	test: 0.0776595	best: 0.0776595 (1080)	total: 1m 39s	remaining: 1m 24s
1090:	learn: 0.0751048	test: 0.0776403	best: 0.0776403 (1090)	total: 1m 40s	remaining: 1m 23s
1100:	learn: 0.0750376	test: 0.0776102	best: 0.0776102 (1100)	total: 1m 41s	remaining: 1m 22s
1110:	learn: 0.0749814	test: 0.0775814	best: 0.0775814 (1110)	total: 1m 42s	remaining: 1m 21s
1120:	learn: 0.0749351	test: 0.0775847	best: 0.0775814 (1110)	total: 1m 43s	remaining: 1m 20s
1130:	learn: 0.0749012	test: 0.0775795	best: 0.0775795 (1130)	total: 1m 44s	remaining: 1m 20s
1140:	learn: 0.0748533	test: 0.0775623	best: 0.0775623 (1140)	total: 1m 45s	remaining: 1m 19s
1150:	learn: 0.0748102	test: 0.0775529	best: 0.0775529 (1150)	total: 1m 45s	remaining: 1m 18s
1160:	learn: 0.0747746	test: 0.0775460	best: 0.0775460 (1160)	total: 1m 46s	remaining: 1m 17s
1170:	learn: 0.0747205	test: 0.0775221	best: 0.0775221 (1170)	total: 1m 47s	remaining: 1m 16s
1180:	learn: 0.0746635	test: 0.0775010	best: 0.0775010 (1180)	total: 1m 48s	remaining: 1m 15s
1190:	learn: 0.0745976	test: 0.0774722	best: 0.0774722 (1190)	total: 1m 49s	remaining: 1m 14s
1200:	learn: 0.0745283	test: 0.0774321	best: 0.0774321 (1200)	total: 1m 50s	remaining: 1m 13s
1210:	learn: 0.0744619	test: 0.0773990	best: 0.0773990 (1210)	total: 1m 51s	remaining: 1m 12s
1220:	learn: 0.0743637	test: 0.0773146	best: 0.0773146 (1220)	total: 1m 52s	remaining: 1m 11s
1230:	learn: 0.0743042	test: 0.0773001	best: 0.0773001 (1230)	total: 1m 53s	remaining: 1m 10s
1240:	learn: 0.0742449	test: 0.0772634	best: 0.0772634 (1240)	total: 1m 54s	remaining: 1m 9s
1250:	learn: 0.0742048	test: 0.0772703	best: 0.0772634 (1240)	total: 1m 54s	remaining: 1m 8s
1260:	learn: 0.0741631	test: 0.0772686	best: 0.0772634 (1240)	total: 1m 55s	remaining: 1m 7s
1270:	learn: 0.0740996	test: 0.0772297	best: 0.0772297 (1270)	total: 1m 56s	remaining: 1m 7s
1280:	learn: 0.0740263	test: 0.0771884	best: 0.0771884 (1280)	total: 1m 57s	remaining: 1m 6s
1290:	learn: 0.0739688	test: 0.0771710	best: 0.0771710 (1290)	total: 1m 58s	remaining: 1m 5s
1300:	learn: 0.0739221	test: 0.0771485	best: 0.0771485 (1300)	total: 1m 59s	remaining: 1m 4s
1310:	learn: 0.0738618	test: 0.0771209	best: 0.0771209 (1310)	total: 2m	remaining: 1m 3s
1320:	learn: 0.0738129	test: 0.0770912	best: 0.0770912 (1320)	total: 2m 1s	remaining: 1m 2s
1330:	learn: 0.0737572	test: 0.0770774	best: 0.0770774 (1330)	total: 2m 2s	remaining: 1m 1s
1340:	learn: 0.0736925	test: 0.0770422	best: 0.0770422 (1340)	total: 2m 3s	remaining: 1m
1350:	learn: 0.0736489	test: 0.0770209	best: 0.0770209 (1350)	total: 2m 4s	remaining: 59.6s
1360:	learn: 0.0736211	test: 0.0770170	best: 0.0770170 (1360)	total: 2m 5s	remaining: 58.7s
1370:	learn: 0.0735980	test: 0.0770208	best: 0.0770170 (1360)	total: 2m 5s	remaining: 57.8s
